Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %
"DevExpress.Charts.Native.RangeUpdateManager.DefaultUpdateWithCorrectSecondaryAxes",2,0,0.02,0.00,
"DevExpress.Charts.Native.RangeUpdateManager.DependentUpdate",96,0,0.89,0.00,
"DevExpress.Charts.Native.RangeUpdateManager.GetInternalMinMaxValues",17,0,0.16,0.00,
"DevExpress.Charts.Native.RangeUpdateManager.GetMinMaxForAllUpdateTasks",23,0,0.21,0.00,
"DevExpress.Charts.Native.RangeUpdateManager.GetRefinedMinMaxValues",2,0,0.02,0.00,
"DevExpress.Charts.Native.RangeUpdateManager.GetRefinedSeriesByAxis",3,0,0.03,0.00,
"DevExpress.Charts.Native.RangeUpdateManager.GetUpdateGroup",5,0,0.05,0.00,
"DevExpress.Charts.Native.RangeUpdateManager.GetUpdateTask",1,0,0.01,0.00,
"DevExpress.Charts.Native.RangeUpdateManager.GetUpdateTask",4,0,0.04,0.00,
"DevExpress.Charts.Native.RangeUpdateManager.UpdateAutoRanges",20,0,0.19,0.00,
"DevExpress.Charts.Native.RangeUpdateManager.UpdateDependentPairs",19,0,0.18,0.00,
"DevExpress.Charts.Native.RangeUpdateManager.UpdateManualRanges",23,0,0.21,0.00,
"DevExpress.Charts.Native.RangeUpdateManager+DependentPair.GetMinMaxByFilteredPointsForValueAxis",5,0,0.05,0.00,
"DevExpress.Charts.Native.RangeUpdateManager+DependentPair.GetMinMaxValueByFollowing",9,0,0.08,0.00,
"DevExpress.Charts.Native.RangeUpdateManager+DependentPair.Update",18,0,0.17,0.00,
"DevExpress.Charts.Native.RangeUpdateManager+UpdateGroup.SetMinMax",22,0,0.20,0.00,
"DevExpress.Charts.Native.RangeUpdateManager+UpdateGroup.Update",51,0,0.47,0.00,
"DevExpress.Charts.Native.RangeUpdateManager+UpdateTask.Update",51,0,0.47,0.00,
"DevExpress.Charts.Native.RangeUpdateStrategy.CalcRangeValuesInValuesMode",3,0,0.03,0.00,
"DevExpress.Charts.Native.RangeUpdateStrategy.CalcSideMargin",15,0,0.14,0.00,
"DevExpress.Charts.Native.RangeUpdateStrategy.CheckZeroLevel",1,0,0.01,0.00,
"DevExpress.Charts.Native.RangeUpdateStrategy.CorrectInternalValue",2,0,0.02,0.00,
"DevExpress.Charts.Native.RangeUpdateStrategy.CorrectWithSideMargins",20,0,0.19,0.00,
"DevExpress.Charts.Native.RangeUpdateStrategy.UpdateDataRange",38,0,0.35,0.00,
"DevExpress.Charts.Native.RangeUpdateStrategy.UpdateRange",51,0,0.47,0.00,
"DevExpress.Charts.Native.RangeUpdateStrategy.UpdateWholeRange",30,0,0.28,0.00,
"DevExpress.Charts.Native.RefinedPoint..ctor",1,0,0.01,0.00,
"DevExpress.Charts.Native.RefinedPoint.DevExpress.Charts.Native.IPointInteraction.GetMinValue",1,0,0.01,0.00,
"DevExpress.Charts.Native.RefinedPointCollection..ctor",1,0,0.01,0.00,
"DevExpress.Charts.Native.RefinedPointCollection.Insert",1,0,0.01,0.00,
"DevExpress.Charts.Native.RefinedPointsAggregator.ClusterPoints",11,0,0.10,0.00,
"DevExpress.Charts.Native.RefinedSeries..ctor",26,0,0.24,0.00,
"DevExpress.Charts.Native.RefinedSeries.CalculateInsidePointIndexes",3,0,0.03,0.00,
"DevExpress.Charts.Native.RefinedSeries.CalculateVisiblePointIndexes",21,0,0.19,0.00,
"DevExpress.Charts.Native.RefinedSeries.DetectScale",1,0,0.01,0.00,
"DevExpress.Charts.Native.RefinedSeries.DevExpress.Charts.Native.IRefinedSeries.get_IsFirstInContainer",4,0,0.04,0.00,
"DevExpress.Charts.Native.RefinedSeries.DevExpress.Charts.Native.IRefinedSeries.get_MaxVisiblePointIndex",11,0,0.10,0.00,
"DevExpress.Charts.Native.RefinedSeries.DevExpress.Charts.Native.IRefinedSeries.get_MinVisiblePointIndex",1,0,0.01,0.00,
"DevExpress.Charts.Native.RefinedSeries.get_ActualCollectionManager",2,0,0.02,0.00,
"DevExpress.Charts.Native.RefinedSeries.get_FinalPoints",60,0,0.56,0.00,
"DevExpress.Charts.Native.RefinedSeries.get_MinArgument",16,0,0.15,0.00,
"DevExpress.Charts.Native.RefinedSeries.get_MinVisiblePointIndex",1,0,0.01,0.00,
"DevExpress.Charts.Native.RefinedSeries.get_PointsSortedByArgument",3,0,0.03,0.00,
"DevExpress.Charts.Native.RefinedSeries.GetInitialPoints",8,0,0.07,0.00,
"DevExpress.Charts.Native.RefinedSeries.InvalidatePointsProcessor",1,0,0.01,0.00,
"DevExpress.Charts.Native.RefinedSeries.ResetScaleCounters",1,0,0.01,0.00,
"DevExpress.Charts.Native.RefinedSeries.UpdateData",4,0,0.04,0.00,
"DevExpress.Charts.Native.RefinedSeries.UpdatePoints",8,0,0.07,0.00,
"DevExpress.Charts.Native.RefinedSeries.UpdateVisiblePointIndexes",22,0,0.20,0.00,
"DevExpress.Charts.Native.RefinedSeries+CollectionManager..ctor",3,0,0.03,0.00,
"DevExpress.Charts.Native.RefinedSeries+CollectionManager.PerformBatchUpdate",6,0,0.06,0.00,
"DevExpress.Charts.Native.RefinedSeries+CollectionManager.PerformUpdate",4,0,0.04,0.00,
"DevExpress.Charts.Native.RefinedSeries+CollectionManager.ProcessPoint",5,0,0.05,0.00,
"DevExpress.Charts.Native.RefinedSeries+CollectionManager.ProcessPoints",3,0,0.03,0.00,
"DevExpress.Charts.Native.RefinedSeries+CollectionManager.RefinePoint",4,0,0.04,0.00,
"DevExpress.Charts.Native.RefinedSeries+CollectionManager.SetIndexesForPointsWithSameArgument",1,0,0.01,0.00,
"DevExpress.Charts.Native.RefinedSeries+CollectionManager.SetIndexesForPointsWithSameArgument",1,0,0.01,0.00,
"DevExpress.Charts.Native.RefinedSeries+CollectionManager+<>c__DisplayClassf.<PerformBatchUpdate>b__b",1,0,0.01,0.00,
"DevExpress.Charts.Native.RefinedSeries+CollectionManager+BasePointProcessor.GetValue",1,0,0.01,0.00,
"DevExpress.Charts.Native.RefinedSeries+CollectionManager+FinancialPointProcessor.ProcessPoint",3,0,0.03,0.00,
"DevExpress.Charts.Native.RefinedSeries+CollectionManager+ValuePointProcessor.ProcessPoint",1,0,0.01,0.00,
"DevExpress.Charts.Native.RefinedSeries+RandomPointsState..ctor",1,0,0.01,0.00,
"DevExpress.Charts.Native.RefinedSeriesGroup.BindScaleMapToAxis",1,0,0.01,0.00,
"DevExpress.Charts.Native.RefinedSeriesGroup.CreateDateTimeMap",1,0,0.01,0.00,
"DevExpress.Charts.Native.RefinedSeriesGroup.CreateScaleMap",3,0,0.03,0.00,
"DevExpress.Charts.Native.RefinedSeriesGroup.GetDateTimeMesureUnit",1,0,0.01,0.00,
"DevExpress.Charts.Native.RefinedSeriesGroup.GetMinMaxValuesFromAxisElements",3,0,0.03,0.00,
"DevExpress.Charts.Native.RefinedSeriesGroup.ShouldRecreateScaleMap",2,0,0.02,0.00,
"DevExpress.Charts.Native.RefinedSeriesGroup.UpdateAxisData",30,0,0.28,0.00,
"DevExpress.Charts.Native.RefinedSeriesGroup.UpdateScaleMap",7,0,0.06,0.00,
"DevExpress.Charts.Native.RefinedSeriesGroupByArgument.CalcSideMargingsEnable",1,0,0.01,0.00,
"DevExpress.Charts.Native.RefinedSeriesGroupByArgument.CalculateFilteredIndexes",22,0,0.20,0.00,
"DevExpress.Charts.Native.RefinedSeriesGroupByArgument.CreateQualitativeMap",1,0,0.01,0.00,
"DevExpress.Charts.Native.RefinedSeriesGroupByArgument.GetMinMaxRefined",1,0,0.01,0.00,
"DevExpress.Charts.Native.RefinedSeriesGroupByArgument.GetMinMaxValuesFromSeries",34,0,0.32,0.00,
"DevExpress.Charts.Native.RefinedSeriesGroupByArgument.UpdateAxisData",33,0,0.31,0.00,
"DevExpress.Charts.Native.RefinedSeriesGroupByArgument.UpdateSideMargingsEnable",2,0,0.02,0.00,
"DevExpress.Charts.Native.RefinedSeriesGroupByValue.GetMinMaxValuesFromSeries",5,0,0.05,0.00,
"DevExpress.Charts.Native.RefinedSeriesGroupController.CalculateFilteredIndexes",15,0,0.14,0.00,
"DevExpress.Charts.Native.RefinedSeriesGroupController.FindRefinedSeriesGroup",5,0,0.05,0.00,
"DevExpress.Charts.Native.RefinedSeriesGroupController.InsertGroup",2,0,0.02,0.00,
"DevExpress.Charts.Native.RefinedSeriesGroupController.RemoveFromSeriesGroups",1,0,0.01,0.00,
"DevExpress.Charts.Native.RefinedSeriesIncompatibilityCalculator..ctor",1,0,0.01,0.00,
"DevExpress.Charts.Native.RefinedSeriesIncompatibilityCalculator.IsVisibleAndCompatible",2,0,0.02,0.00,
"DevExpress.Charts.Native.RefinedSeriesRepository..ctor",1,0,0.01,0.00,
"DevExpress.Charts.Native.RefinedSeriesRepository.ClearActiveRefinedSeries",2,0,0.02,0.00,
"DevExpress.Charts.Native.RefinedSeriesRepository.get_IsContainsProcessedPoints",1,0,0.01,0.00,
"DevExpress.Charts.Native.RefinedSeriesRepository.InsertSeries",28,0,0.26,0.00,
"DevExpress.Charts.Native.RefinedSeriesRepository.InsertSeries",1,0,0.01,0.00,
"DevExpress.Charts.Native.RefinedSeriesRepository.RefineSeries",28,0,0.26,0.00,
"DevExpress.Charts.Native.RefinedSeriesRepository.RemoveFromSeriesGroups",2,0,0.02,0.00,
"DevExpress.Charts.Native.RefinedSeriesRepository.UpdateInteraction",52,0,0.48,0.00,
"DevExpress.Charts.Native.SeriesBindingProcedure..ctor",1,0,0.01,0.00,
"DevExpress.Charts.Native.SeriesBindingProcedure.CreateBindingPoints",16,0,0.15,0.00,
"DevExpress.Charts.Native.SeriesContainer.BatchPointsUpdate",1,0,0.01,0.00,
"DevExpress.Charts.Native.SeriesContainer.UpdatePoints",2,0,0.02,0.00,
"DevExpress.Charts.Native.SeriesController..ctor",2,0,0.02,0.00,
"DevExpress.Charts.Native.SeriesController.ApplyUpdates",299,0,2.77,0.00,
"DevExpress.Charts.Native.SeriesController.BatchUpdateAxis",3,0,0.03,0.00,
"DevExpress.Charts.Native.SeriesController.BatchUpdateRefinedSeriesList",1,0,0.01,0.00,
"DevExpress.Charts.Native.SeriesController.CreateIncompatibilityCalculator",3,0,0.03,0.00,
"DevExpress.Charts.Native.SeriesController.get_IsContainsProcessedNotEmptyPoints",1,0,0.01,0.00,
"DevExpress.Charts.Native.SeriesController.get_IsContainsProcessedPoints",2,0,0.02,0.00,
"DevExpress.Charts.Native.SeriesController.GetAllAxes",1,0,0.01,0.00,
"DevExpress.Charts.Native.SeriesController.OpenTransaction",2,0,0.02,0.00,
"DevExpress.Charts.Native.SeriesController.ProcessCollectionUpdate",42,0,0.39,0.00,
"DevExpress.Charts.Native.SeriesController.ProcessLiteUpdate",1,0,0.01,0.00,
"DevExpress.Charts.Native.SeriesController.ProcessPoints",4,0,0.04,0.00,
"DevExpress.Charts.Native.SeriesController.ProcessPropertyUpdate",1,0,0.01,0.00,
"DevExpress.Charts.Native.SeriesController.ProcessUpdate",52,0,0.48,0.00,
"DevExpress.Charts.Native.SeriesController.ResetAxisRanges",3,0,0.03,0.00,
"DevExpress.Charts.Native.SeriesController.TryConvertRangeValues",3,0,0.03,0.00,
"DevExpress.Charts.Native.SeriesController.TryUpdateGroupForSeries",1,0,0.01,0.00,
"DevExpress.Charts.Native.SeriesController.UpdateActiveRefinedSeries",8,0,0.07,0.00,
"DevExpress.Charts.Native.SeriesController.UpdateAxis",3,0,0.03,0.00,
"DevExpress.Charts.Native.SeriesController.UpdateCrosshairData",13,0,0.12,0.00,
"DevExpress.Charts.Native.SeriesController.UpdateRefinedSeriesList",28,0,0.26,0.00,
"DevExpress.Charts.Native.SeriesController.UpdateScaleMapForGroups",10,0,0.09,0.00,
"DevExpress.Charts.Native.SeriesController+SeriesControllerTransaction..ctor",2,0,0.02,0.00,
"DevExpress.Charts.Native.SeriesController+SeriesControllerTransaction.Commit",299,0,2.77,0.00,
"DevExpress.Charts.Native.SeriesController+SeriesControllerTransaction.Process",49,0,0.45,0.00,
"DevExpress.Charts.Native.SeriesIncompatibilityCalculatorBase`2[System.__Canon.System.__Canon].IsCompatible",1,0,0.01,0.00,
"DevExpress.Charts.Native.SeriesInteractionContainer.AddSeries",11,0,0.10,0.00,
"DevExpress.Charts.Native.SeriesInteractionContainer.RemoveSeries",31,0,0.29,0.00,
"DevExpress.Charts.Native.SideBySideGroup.RemoveSeries",26,0,0.24,0.00,
"DevExpress.Charts.Native.SideBySideGroupBase.RemoveSeries",26,0,0.24,0.00,
"DevExpress.Charts.Native.SideBySideInteraction..ctor",1,0,0.01,0.00,
"DevExpress.Charts.Native.SideBySideInteraction.CreateGroup",3,0,0.03,0.00,
"DevExpress.Charts.Native.SideBySideInteractionBase.AddSeries",4,0,0.04,0.00,
"DevExpress.Charts.Native.SideBySideInteractionBase.InsertPoint",3,0,0.03,0.00,
"DevExpress.Charts.Native.SideBySideInteractionContainer..ctor",1,0,0.01,0.00,
"DevExpress.Charts.Native.SideBySideInteractionContainer.get_EqualBarWidth",2,0,0.02,0.00,
"DevExpress.Charts.Native.SideBySideInteractionContainer.InsertRefinedPoint",6,0,0.06,0.00,
"DevExpress.Charts.Native.SideBySideInteractionContainer.InsertRefinedPoints",10,0,0.09,0.00,
"DevExpress.Charts.Native.SideBySideInteractionContainer.Recalculate",42,0,0.39,0.00,
"DevExpress.Charts.Native.SideBySideInteractionContainer.RemoveRefinedPoints",31,0,0.29,0.00,
"DevExpress.Charts.Native.SideMarginCalculator.CalcSideMargin",14,0,0.13,0.00,
"DevExpress.Charts.Native.SideMarginCalculator.CalculateSideMarginByRange",1,0,0.01,0.00,
"DevExpress.Charts.Native.SideMarginCalculator.CalculateSideMarginBySeries",11,0,0.10,0.00,
"DevExpress.Charts.Native.SideMarginCalculator.get_ShowZeroLevel",1,0,0.01,0.00,
"DevExpress.Charts.Native.SideMarginCalculator.GetScaleBreakesRanges",9,0,0.08,0.00,
"DevExpress.Charts.Native.SimpleDiagramLayout.Calculate",1,0,0.01,0.00,
"DevExpress.Charts.Native.SimpleDiagramPanel.Arrange",2,0,0.02,0.00,
"DevExpress.Charts.Native.SimplePointInteraction.AddPoint",1,0,0.01,0.00,
"DevExpress.Charts.Native.SimpleSeriesContainer..ctor",1,0,0.01,0.00,
"DevExpress.Charts.Native.SimpleSeriesContainer.InsertRefinedPoint",1,0,0.01,0.00,
"DevExpress.Charts.Native.SingleSeriesContainer.Recalculate",40,0,0.37,0.00,
"DevExpress.Charts.Native.SingleSeriesContainer.SetRefinedSeries",3,0,0.03,0.00,
"DevExpress.Charts.Native.SortedRefinedPointCollection.Add",5,0,0.05,0.00,
"DevExpress.Charts.Native.SortedRefinedPointCollection.AddRange",1,0,0.01,0.00,
"DevExpress.Charts.Native.SortedRefinedPointCollection.BinarySearch",4,0,0.04,0.00,
"DevExpress.Charts.Native.SortedRefinedPointCollection.BinarySearch",1,0,0.01,0.00,
"DevExpress.Charts.Native.UnitContainer`2[DevExpress.Charts.Native.DateTimeMeasureUnitNative.DevExpress.Charts.Native.DateTimeGridAlignmentNative].GetAlignmentUnitAt",1,0,0.01,0.00,
"DevExpress.Charts.Native.UnitContainer`2[DevExpress.Charts.Native.DateTimeMeasureUnitNative.DevExpress.Charts.Native.DateTimeGridAlignmentNative].GetMeasureUnitAt",2,0,0.02,0.00,
"DevExpress.Charts.Native.UnitContainer`2[DevExpress.Charts.Native.DateTimeMeasureUnitNative.DevExpress.Charts.Native.DateTimeGridAlignmentNative].SelectAlignmentUnit",2,0,0.02,0.00,
"DevExpress.Charts.Native.UnitContainer`2[DevExpress.Charts.Native.DateTimeMeasureUnitNative.DevExpress.Charts.Native.DateTimeGridAlignmentNative].SelectMeasureUnit",2,0,0.02,0.00,
"DevExpress.Charts.Native.UnitContainer`2[DevExpress.Charts.Native.DateTimeMeasureUnitNative.DevExpress.Charts.Native.DateTimeGridAlignmentNative].SelectUnit",3,0,0.03,0.00,
"DevExpress.Charts.Native.UnitContainer`2+AlignmentItem[DevExpress.Charts.Native.DateTimeMeasureUnitNative.DevExpress.Charts.Native.DateTimeGridAlignmentNative]..ctor",1,0,0.01,0.00,
"DevExpress.Charts.Native.UnitSelector`2[DevExpress.Charts.Native.DateTimeMeasureUnitNative.DevExpress.Charts.Native.DateTimeGridAlignmentNative].SelectAlignment",2,0,0.02,0.00,
"DevExpress.Charts.Native.UnitSelector`2[System.Double.System.Double].SelectMeasureUnit",2,0,0.02,0.00,
"DevExpress.Charts.Native.VisibilityCalculator.CalculateLayout",11,0,0.10,0.00,
"DevExpress.Charts.Native.VisibilityCalculator.CalculateVisibility",10,0,0.09,0.00,
"DevExpress.Charts.Native.VisibilityCalculator.GetLayers",2,0,0.02,0.00,
"DevExpress.Charts.Native.VisibilityCalculator+VisibilityLayerKey..ctor",2,0,0.02,0.00,
"DevExpress.Charts.Native.WorkdaysPointsFilter..ctor",1,0,0.01,0.00,
"DevExpress.Charts.Native.XYSeriesContainer.InsertRefinedPoints",42,0,0.39,0.00,
"DevExpress.Charts.NotificationCenter.Native.NotificationFilterCredentials..ctor",1,0,0.01,0.00,
"DevExpress.Charts.NotificationCenter.Native.NotificationFilterCredentials..ctor",1,0,0.01,0.00,
"DevExpress.Charts.NotificationCenter.Native.NotificationQueue..ctor",4,0,0.04,0.00,
"DevExpress.Charts.NotificationCenter.NotificationCenter..ctor",92,0,0.85,0.00,
"DevExpress.Charts.NotificationCenter.NotificationCenter.AllowNotifications",1,0,0.01,0.00,
"DevExpress.Charts.NotificationCenter.NotificationCenter.get_DefaultCenter",94,0,0.87,0.00,
"DevExpress.Charts.NotificationCenter.NotificationCenter.ProcessNotifications","1.464",0,13.57,0.00,
"DevExpress.Charts.NotificationCenter.NotificationCenter.RegisterObserver",1,0,0.01,0.00,
"DevExpress.Charts.NotificationCenter.NotificationCenter.Send","1.465",0,13.58,0.00,
"DevExpress.Data.Access.DataListDescriptor.CreateTypeInstance",2,0,0.02,0.00,
"DevExpress.Data.Access.DataListDescriptor.GetFastProperties",6,0,0.06,0.00,
"DevExpress.Data.Access.DataListDescriptor.GetFastProperty",6,0,0.06,0.00,
"DevExpress.Data.Access.DataListDescriptor+FastPropertyDescriptor.GetValue",1,0,0.01,0.00,
"DevExpress.Data.Access.UnboundPropertyDescriptor.Convert",1,0,0.01,0.00,
"DevExpress.Data.Access.UnboundPropertyDescriptor.CreateEvaluator",9,0,0.08,0.00,
"DevExpress.Data.Access.UnboundPropertyDescriptor.get_Evaluator",9,0,0.08,0.00,
"DevExpress.Data.Access.UnboundPropertyDescriptor.GetEvaluatorValue",16,0,0.15,0.00,
"DevExpress.Data.Access.UnboundPropertyDescriptor.GetValue",26,0,0.24,0.00,
"DevExpress.Data.Access.UnboundPropertyDescriptor.GetValueFromRowNumber",26,0,0.24,0.00,
"DevExpress.Data.BaseGridController.CheckCurrentControllerRowObject",2,0,0.02,0.00,
"DevExpress.Data.BaseGridController.CheckCurrentControllerRowObject",3,0,0.03,0.00,
"DevExpress.Data.BaseGridController.CheckCurrentControllerRowObjectOnRefresh",2,0,0.02,0.00,
"DevExpress.Data.BaseGridController.Dispose",1,0,0.01,0.00,
"DevExpress.Data.BaseGridController.GetCurrentControllerRowObject",1,0,0.01,0.00,
"DevExpress.Data.BaseGridController.OnCurrentControllerRowChanged",5,0,0.05,0.00,
"DevExpress.Data.BaseGridController.OnCurrentControllerRowChanging",6,0,0.06,0.00,
"DevExpress.Data.BaseGridController.OnCurrentControllerRowObjectChanging",1,0,0.01,0.00,
"DevExpress.Data.BaseGridController.OnRefreshed",2,0,0.02,0.00,
"DevExpress.Data.BaseGridController.ResetCurrentPosition",6,0,0.06,0.00,
"DevExpress.Data.BaseGridController.set_CurrentControllerRow",6,0,0.06,0.00,
"DevExpress.Data.BaseGridController.SetCurrentControllerRowObject",1,0,0.01,0.00,
"DevExpress.Data.BaseGridControllerEx..ctor",1,0,0.01,0.00,
"DevExpress.Data.BaseListSourceDataController.GetRow",1,0,0.01,0.00,
"DevExpress.Data.BaseListSourceDataController.GetRowValue",29,0,0.27,0.00,
"DevExpress.Data.BaseListSourceDataController.SetDataSource",1,0,0.01,0.00,
"DevExpress.Data.Browsing.DataBrowser.FindItemProperty",2,0,0.02,0.00,
"DevExpress.Data.Browsing.DataBrowser.get_Current",2,0,0.02,0.00,
"DevExpress.Data.Browsing.DataBrowser.get_DataSource",1,0,0.01,0.00,
"DevExpress.Data.Browsing.DataBrowser.GetItemProperties",2,0,0.02,0.00,
"DevExpress.Data.Browsing.DataBrowser.GetItemProperties",2,0,0.02,0.00,
"DevExpress.Data.Browsing.DataBrowserHelper.GetListItemProperties",1,0,0.01,0.00,
"DevExpress.Data.Browsing.DataBrowserHelperBase.GetListItemProperties",1,0,0.01,0.00,
"DevExpress.Data.Browsing.DataContextBase..ctor",1,0,0.01,0.00,
"DevExpress.Data.Browsing.DataContextBase.CreateDataBrowser",1,0,0.01,0.00,
"DevExpress.Data.Browsing.DataContextBase.CreateDataBrowser",1,0,0.01,0.00,
"DevExpress.Data.Browsing.DataContextBase.CreateListBrowser",1,0,0.01,0.00,
"DevExpress.Data.Browsing.DataContextBase.GetDataBrowser",4,0,0.04,0.00,
"DevExpress.Data.Browsing.DataContextBase.GetDataBrowserInternal",1,0,0.01,0.00,
"DevExpress.Data.Browsing.DataContextBase.GetDataBrowserInternal",4,0,0.04,0.00,
"DevExpress.Data.Browsing.ListBrowser..ctor",1,0,0.01,0.00,
"DevExpress.Data.Browsing.ListBrowser.set_Position",1,0,0.01,0.00,
"DevExpress.Data.Browsing.ListBrowser.SetDataSource",1,0,0.01,0.00,
"DevExpress.Data.Browsing.ListBrowser.SetList",1,0,0.01,0.00,
"DevExpress.Data.Browsing.ListTypeHelper.FindTypeDefinition",1,0,0.01,0.00,
"DevExpress.Data.Browsing.ListTypeHelper.IsListType",1,0,0.01,0.00,
"DevExpress.Data.Browsing.RelatedDataBrowser.RetrieveDataSource",1,0,0.01,0.00,
"DevExpress.Data.CurrencyDataController.CheckCurrentControllerRowObject",3,0,0.03,0.00,
"DevExpress.Data.CurrencyDataController.DoRefresh",55,0,0.51,0.00,
"DevExpress.Data.CurrencyDataController.OnCurrencyManagerChanged",89,0,0.82,0.00,
"DevExpress.Data.CurrencyDataController.OnDataSourceChanged",95,0,0.88,0.00,
"DevExpress.Data.CurrencyDataController.OnRefreshed",2,0,0.02,0.00,
"DevExpress.Data.CurrencyDataController.set_CurrencyManager",89,0,0.82,0.00,
"DevExpress.Data.CurrencyDataController.SetCurrencyManagerPositionCore",1,0,0.01,0.00,
"DevExpress.Data.CurrencyDataController.SetDataSource",96,0,0.89,0.00,
"DevExpress.Data.CurrencyDataController.SyncCurrentRow",1,0,0.01,0.00,
"DevExpress.Data.DataColumnInfo..ctor",1,0,0.01,0.00,
"DevExpress.Data.DataColumnInfo.get_Caption",2,0,0.02,0.00,
"DevExpress.Data.DataColumnInfo.SetPropertyDescriptor",1,0,0.01,0.00,
"DevExpress.Data.DataController.CheckRaiseVisibleCountChanged",3,0,0.03,0.00,
"DevExpress.Data.DataController.ClearClients",1,0,0.01,0.00,
"DevExpress.Data.DataController.Dispose",1,0,0.01,0.00,
"DevExpress.Data.DataController.DoFilterRows",1,0,0.01,0.00,
"DevExpress.Data.DataController.DoRefresh",55,0,0.51,0.00,
"DevExpress.Data.DataController.DoRefreshCore",40,0,0.37,0.00,
"DevExpress.Data.DataController.DoSortRows",37,0,0.34,0.00,
"DevExpress.Data.DataController.EndUpdateCore",56,0,0.52,0.00,
"DevExpress.Data.DataController.get_HasUserFilter",1,0,0.01,0.00,
"DevExpress.Data.DataController.get_IsFiltered",1,0,0.01,0.00,
"DevExpress.Data.DataController.GetControllerRow",1,0,0.01,0.00,
"DevExpress.Data.DataController.GetErrorInfo",1,0,0.01,0.00,
"DevExpress.Data.DataController.GetErrorText",1,0,0.01,0.00,
"DevExpress.Data.DataController.GetFilterDescriptorCollection",1,0,0.01,0.00,
"DevExpress.Data.DataController.GetRow",1,0,0.01,0.00,
"DevExpress.Data.DataController.GetRow",1,0,0.01,0.00,
"DevExpress.Data.DataController.GetRowValue",29,0,0.27,0.00,
"DevExpress.Data.DataController.IsControllerCellValid",1,0,0.01,0.00,
"DevExpress.Data.DataController.IsDetailRow",1,0,0.01,0.00,
"DevExpress.Data.DataController.OnPostRefresh",2,0,0.02,0.00,
"DevExpress.Data.DataController.OnRefresh",38,0,0.35,0.00,
"DevExpress.Data.DataController.UpdateSortGroup",1,0,0.01,0.00,
"DevExpress.Data.DataController.VisualClientRequestSynchronization",20,0,0.19,0.00,
"DevExpress.Data.DataController.VisualClientUpdateLayout",1,0,0.01,0.00,
"DevExpress.Data.DataControllerBase.CancelUpdate",1,0,0.01,0.00,
"DevExpress.Data.DataControllerBase.ClearClients",1,0,0.01,0.00,
"DevExpress.Data.DataControllerBase.CreateExpressionEvaluator",8,0,0.07,0.00,
"DevExpress.Data.DataControllerBase.Dispose",1,0,0.01,0.00,
"DevExpress.Data.DataControllerBase.DoRefresh",55,0,0.51,0.00,
"DevExpress.Data.DataControllerBase.EndUpdate",56,0,0.52,0.00,
"DevExpress.Data.DataControllerBase.EndUpdateCore",1,0,0.01,0.00,
"DevExpress.Data.DataControllerBase.OnListSourceChanged",90,0,0.83,0.00,
"DevExpress.Data.DataControllerBase.PopulateColumns",9,0,0.08,0.00,
"DevExpress.Data.DataControllerBase.RaiseListSourceChanged",4,0,0.04,0.00,
"DevExpress.Data.DataControllerBase.RaiseVisibleRowCountChanged",3,0,0.03,0.00,
"DevExpress.Data.DataControllerBase.SetListSource",90,0,0.83,0.00,
